name,stratum,bioactivity_vocab,food_source,bioavailability,canonical_smiles,formula,mw,logp,hbd,hba,tpsa,rings,murcko_scaffold
quercetin,Western,antioxidant,"onion, apple, berries",low,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,C15H10O7,302.2,1.99,5,7,131.4,3,O=c1cc(-c2ccccc2)oc2ccccc12
kaempferol,Western,antioxidant,"kale, broccoli, tea",low,O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,C15H10O6,286.2,2.28,4,6,111.1,3,O=c1cc(-c2ccccc2)oc2ccccc12
myricetin,Western,antioxidant,"berries, red wine",low,O=c1c(O)c(-c2cc(O)c(O)c(O)c2)oc2cc(O)cc(O)c12,C15H10O8,318.2,1.69,6,8,151.6,3,O=c1cc(-c2ccccc2)oc2ccccc12
apigenin,Western,anti-inflammatory,"parsley, celery, chamomile",low,O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,C15H10O5,270.2,2.58,3,5,90.9,3,O=c1cc(-c2ccccc2)oc2ccccc12
luteolin,Western,anti-inflammatory,"celery, thyme, oregano",low,O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,C15H10O6,286.2,2.28,4,6,111.1,3,O=c1cc(-c2ccccc2)oc2ccccc12
resveratrol,Western,cardiovascular,"red grapes, red wine, peanuts",low,Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1,C14H12O3,228.2,2.97,3,3,60.7,2,C(=Cc1ccccc1)c1ccccc1
caffeic acid,Western,antioxidant,"coffee, apple, blueberry",moderate,O=C(O)/C=C/c1ccc(O)c(O)c1,C9H8O4,180.2,1.2,3,3,77.8,1,c1ccccc1
chlorogenic acid,Western,antioxidant,"coffee, apple",low,O=C(/C=C/c1ccc(O)c(O)c1)O[C@@H]1C[C@](O)(C(=O)O)C[C@@H](O)[C@H]1O,C16H18O9,354.3,-0.65,6,8,164.8,2,O=C(C=Cc1ccccc1)OC1CCCCC1
ferulic acid,Western,antioxidant,"wheat bran, oats, rice",moderate,COc1cc(/C=C/C(=O)O)ccc1O,C10H10O4,194.2,1.5,2,3,66.8,1,c1ccccc1
ellagic acid,Western,anticancer,"pomegranate, raspberry, walnut",low,O=c1oc2c(O)c(O)cc3c(=O)oc4c(O)c(O)cc1c4c23,C14H6O8,302.2,1.31,4,8,141.3,4,O=c1oc2cccc3c(=O)oc4cccc1c4c23
naringenin,Western,antioxidant,"grapefruit, orange",moderate,O=C1C[C@@H](c2ccc(O)cc2)Oc2cc(O)cc(O)c21,C15H12O5,272.3,2.51,3,5,87.0,3,O=C1CC(c2ccccc2)Oc2ccccc21
hesperetin,Western,antioxidant,"orange, lemon",moderate,COc1ccc([C@@H]2CC(=O)c3c(O)cc(O)cc3O2)cc1O,C16H14O6,302.3,2.52,3,6,96.2,3,O=C1CC(c2ccccc2)Oc2ccccc21
cyanidin,Western,antioxidant,"berries, red cabbage",low,Oc1cc(O)c2cc(O)c(-c3ccc(O)c(O)c3)[o+]c2c1,C15H11O6+,287.2,2.91,5,5,112.5,3,c1ccc(-c2ccc3ccccc3[o+]2)cc1
delphinidin,Western,antioxidant,"blueberry, blackcurrant",low,Oc1cc(O)c2cc(O)c(-c3cc(O)c(O)c(O)c3)[o+]c2c1,C15H11O7+,303.2,2.61,6,6,132.7,3,c1ccc(-c2ccc3ccccc3[o+]2)cc1
oleuropein,Western,anti-inflammatory,"olive, olive oil",low,C/C=C1/[C@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)OC=C(C(=O)OC)[C@H]1CC(=O)OCCc1ccc(O)c(O)c1,C25H32O13,540.5,-0.63,6,13,201.7,3,C=C1C(CC(=O)OCCc2ccccc2)C=COC1OC1CCCCO1
hydroxytyrosol,Western,antioxidant,olive oil,moderate,OCCc1ccc(O)c(O)c1,C8H10O3,154.2,0.63,3,3,60.7,1,c1ccccc1
pterostilbene,Western,antioxidant,"blueberry, grape",moderate,COc1cc(/C=C/c2ccc(O)cc2)cc(OC)c1,C16H16O3,256.3,3.58,1,3,38.7,2,C(=Cc1ccccc1)c1ccccc1
gallic acid,Western,antioxidant,"grape, tea, gallnut",moderate,O=C(O)c1cc(O)c(O)c(O)c1,C7H6O5,170.1,0.5,4,4,98.0,1,c1ccccc1
genistein,East Asian,phytoestrogen,"soybean, tofu",moderate,O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12,C15H10O5,270.2,2.58,3,5,90.9,3,O=c1c(-c2ccccc2)coc2ccccc12
daidzein,East Asian,phytoestrogen,"soybean, fermented soy",moderate,O=c1c(-c2ccc(O)cc2)coc2cc(O)ccc12,C15H10O4,254.2,2.87,2,4,70.7,3,O=c1c(-c2ccccc2)coc2ccccc12
allicin,East Asian,antimicrobial,garlic,low,C=CCSS(=O)CC=C,C6H10OS2,162.3,1.76,0,2,17.1,0,
epigallocatechin gallate,East Asian,antioxidant,green tea,low,O=C(O[C@@H]1Cc2c(O)cc(O)cc2O[C@@H]1c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1,C22H18O11,458.4,2.23,8,11,197.4,4,O=C(OC1Cc2ccccc2OC1c1ccccc1)c1ccccc1
theaflavin,East Asian,antioxidant,black tea,low,O=c1c(O)cc([C@H]2Oc3cc(O)cc(O)c3C[C@H]2O)cc2c([C@H]3Oc4cc(O)cc(O)c4C[C@H]3O)cc(O)c(O)c12,C29H24O12,564.5,2.21,9,12,217.6,6,O=c1ccc(C2CCc3ccccc3O2)cc2c(C3CCc4ccccc4O3)cccc12
berberine,East Asian,antidiabetic,"Coptis, goldthread (TCM)",low,COc1ccc2cc3[n+](cc2c1OC)CCc1cc2c(cc1-3)OCO2,C20H18NO4+,336.4,3.1,0,4,40.8,5,c1ccc2c[n+]3c(cc2c1)-c1cc2c(cc1CC3)OCO2
honokiol,East Asian,neuroprotective,Magnolia bark,moderate,C=CCc1ccc(O)c(-c2ccc(O)c(CC=C)c2)c1,C18H18O2,266.3,4.22,2,2,40.5,2,c1ccc(-c2ccccc2)cc1
tanshinone IIA,East Asian,cardiovascular,Salvia miltiorrhiza (danshen),low,Cc1coc2c1C(=O)C(=O)c1c-2ccc2c1CCCC2(C)C,C19H18O3,294.4,4.25,0,3,47.3,4,O=C1C(=O)c2c(ccc3c2CCCC3)-c2occc21
ginsenoside Rb1,East Asian,adaptogenic/tonic,ginseng root,low,CC(C)=CCC[C@](C)(O[C@@H]1O[C@H](CO[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@H](O)[C@H]1O)[C@H]1CC[C@]2(C)[C@@H]1[C@H](O)C[C@@H]1[C@@]3(C)CC[C@H](O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)C(C)(C)[C@@H]3CC[C@]12C,C54H92O23,1109.3,-2.2,15,23,377.3,8,C1CCC(OCC2CCCC(OCC3CCC4C3CCC3C5CCC(OC6OCCCC6OC6CCCCO6)CC5CCC43)O2)OC1
ginsenoside Rg1,East Asian,adaptogenic/tonic,ginseng root,low,CC(C)=CCC[C@](C)(O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)[C@H]1CC[C@]2(C)[C@@H]1[C@H](O)C[C@@H]1[C@@]3(C)CC[C@H](O)C(C)(C)[C@@H]3[C@@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)C[C@]12C,C42H72O14,801.0,1.12,10,14,239.2,6,C1CCC(OCC2CCC3C2CCC2C4CCCCC4C(OC4CCCCO4)CC32)OC1
6-gingerol,East Asian,anti-inflammatory,ginger,moderate,CCCCC[C@H](O)CC(=O)CCc1ccc(O)c(OC)c1,C17H26O4,294.4,3.23,2,4,66.8,1,c1ccccc1
nobiletin,East Asian,anti-inflammatory,citrus peel (chenpi),moderate,COc1ccc(-c2cc(=O)c3c(OC)c(OC)c(OC)c(OC)c3o2)cc1OC,C21H22O8,402.4,3.51,0,8,85.6,3,O=c1cc(-c2ccccc2)oc2ccccc12
tangeretin,East Asian,anticancer,citrus peel,moderate,COc1ccc(-c2cc(=O)c3c(OC)c(OC)c(OC)c(OC)c3o2)cc1,C20H20O7,372.4,3.5,0,7,76.4,3,O=c1cc(-c2ccccc2)oc2ccccc12
schisandrin A,East Asian,hepatoprotective,Schisandra chinensis berry,moderate,COc1cc2c(c(OC)c1OC)-c1c(cc(OC)c(OC)c1OC)C[C@H](C)[C@H](C)C2,C24H32O6,416.5,4.78,0,6,55.4,3,c1ccc2c(c1)CCCCc1ccccc1-2
icariin,East Asian,adaptogenic/tonic,Epimedium (horny goat weed),low,COc1ccc(-c2oc3c(CC=C(C)C)c(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)cc(O)c3c(=O)c2O[C@@H]2O[C@@H](C)[C@H](O)[C@@H](O)[C@H]2O)cc1,C33H40O15,676.7,0.07,8,15,238.2,5,O=c1c(OC2CCCCO2)c(-c2ccccc2)oc2cc(OC3CCCCO3)ccc12
sulforaphane,East Asian,anticancer,"broccoli, cruciferous vegetables",high,CS(=O)CCCCN=C=S,C6H11NOS2,177.3,1.25,0,3,29.4,0,
puerarin,East Asian,cardiovascular,kudzu root (Pueraria),low,O=c1c(-c2ccc(O)cc2)coc2c([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(O)ccc12,C21H20O9,416.4,0.39,6,9,160.8,4,O=c1c(-c2ccccc2)coc2c(C3CCCCO3)cccc12
curcumin,South Asian,anti-inflammatory,turmeric,low,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,C21H20O6,368.4,3.37,2,6,93.1,2,O=C(C=Cc1ccccc1)CC(=O)C=Cc1ccccc1
demethoxycurcumin,South Asian,anti-inflammatory,turmeric,low,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)cc2)ccc1O,C20H18O5,338.4,3.36,2,5,83.8,2,O=C(C=Cc1ccccc1)CC(=O)C=Cc1ccccc1
bisdemethoxycurcumin,South Asian,anti-inflammatory,turmeric,low,O=C(/C=C/c1ccc(O)cc1)CC(=O)/C=C/c1ccc(O)cc1,C19H16O4,308.3,3.35,2,4,74.6,2,O=C(C=Cc1ccccc1)CC(=O)C=Cc1ccccc1
piperine,South Asian,other,black pepper,moderate,O=C(/C=C/C=C/c1ccc2c(c1)OCO2)N1CCCCC1,C17H19NO3,285.3,3.0,0,3,38.8,3,O=C(C=CC=Cc1ccc2c(c1)OCO2)N1CCCCC1
withaferin A,South Asian,anticancer,ashwagandha (Withania somnifera),low,CC1=C(CO)C(=O)O[C@@H]([C@@H](C)[C@H]2CC[C@H]3[C@@H]4C[C@H]5O[C@]56[C@@H](O)C=CC(=O)[C@]6(C)[C@H]4CC[C@]23C)C1,C28H38O6,470.6,3.35,2,6,96.4,6,O=C1C=CCC(CC2CCC3C2CCC2C3CC3OC34CC=CC(=O)C24)O1
andrographolide,South Asian,immunomodulatory,Andrographis paniculata (kalmegh),moderate,C=C1CC[C@@H]2[C@](C)(CO)[C@H](O)CC[C@@]2(C)[C@@H]1C/C=C1/C(=O)OC[C@H]1O,C20H30O5,350.5,1.96,3,5,87.0,3,C=C1CCC2CCCCC2C1CC=C1CCOC1=O
