compound,stratum,provenance_note,source
quercetin,Western,"It is found in many fruits, vegetables, leaves, seeds, and grains; capers, red onions, and kale are common foods containing appreciable amounts of it.",wikipedia
kaempferol,Western,"Kaempferol (3,4′,5,7-tetrahydroxyflavone) is a natural flavonol, a type of flavonoid, found in a variety of plants and plant-derived foods, including kale, beans, tea, spinach, and broccoli.",wikipedia
myricetin,Western,"Common dietary sources include vegetables, fruits, nuts, berries, tea, and red wine.",wikipedia
apigenin,Western,"Apigenin (4′,5,7-trihydroxyflavone), found in many plants, is a flavone compound that is the aglycone of several naturally occurring glycosides.",wikipedia
luteolin,Western,"Found in Inula montana, Cicerbita plumieri, Ocimum americanum, Capsicum annuum, Aspalathus linearis, Parkinsonia aculeata.",wikidata
resveratrol,Western,"Sources of resveratrol in food include the skin of grapes, blueberries, raspberries, mulberries, and peanuts.",wikipedia
caffeic acid,Western,"Caffeic acid is found in all plants as an intermediate in the biosynthesis of lignin, a naturally occurring complex carbohydrate representing the principal components of biomass and its residues.",wikipedia
chlorogenic acid,Western,"Found in Fragaria, Prunus armeniaca, Prunus avium, Calendula officinalis, Sarcandra glabra, Cynara cardunculus.",wikidata
ferulic acid,Western,"Esters of ferulic acid are found in plant cell walls, covalently bonded to hemicellulose such as arabinoxylans.",wikipedia
ellagic acid,Western,Ellagic acid is a polyphenol found in numerous fruits and vegetables.,wikipedia
naringenin,Western,"Found in Capsicum annuum, Fragaria, Commiphora wightii, Combretum imberbe, Magnolia liliiflora, Maclura pomifera.",wikidata
hesperetin,Western,"Found in Capsicum annuum, Fragaria, Cocos nucifera, parsley, pomegranate, Prunus persica.",wikidata
cyanidin,Western,"Found in berries, red cabbage.",csv_fallback
delphinidin,Western,"Found in blueberry, blackcurrant.",csv_fallback
oleuropein,Western,"Found in Olea europaea, Fraxinus excelsior, borage, Brassica napus, Inga feuilleei, Syringa josikaea.",wikidata
hydroxytyrosol,Western,"Found in Vitis vinifera, Brassica napus, Papaver rhoeas, Ligustrum lucidum, Olea europaea, Fraxinus americana.",wikidata
pterostilbene,Western,"Found in Vitis vinifera, Vitis rupestris, Coffea, Vitis, Pterocarpus macrocarpus, Vitis vulpina.",wikidata
gallic acid,Western,"Found in Eucalyptus globulus, Rhus coriaria, Fragaria, Ampelopsis japonica, Melaleuca ericifolia, Mangifera indica.",wikidata
genistein,East Asian,"Found in Capsicum annuum, soybean, Acacia calamifolia, Acacia constablei, Acacia chrysotricha, maize.",wikidata
daidzein,East Asian,"Found in soybean, Pueraria montana var. thomsonii, Vigna radiata var. radiata, Streptomyces olivaceus, Capsicum annuum, Mirabilis jalapa.",wikidata
allicin,East Asian,"Found in Allium sativum, Welsh onion, onion, Allium schoenoprasum, Allium ursinum, Allium victorialis.",wikidata
epigallocatechin gallate,East Asian,"Found in Fragaria, Capsicum annuum, Camellia irrawadiensis, Sedum crassularia, Coccoloba mollis, Pisum sativum.",wikidata
theaflavin,East Asian,"Theaflavin (TF) and its derivatives, known collectively as theaflavins, are polyphenols that are formed from the condensation of flavan-3-ols in tea leaves during the enzymatic oxidation of black tea.",wikipedia
berberine,East Asian,"Found in Papaver somniferum, Artemisia maritima, Papaver rhoeas, Thalictrum calabricum, Thalictrum lankesteri, Thalictrum dasycarpum.",wikidata
honokiol,East Asian,"Honokiol is a lignan isolated from the bark, seed cones, and leaves of trees belonging to the genus Magnolia.",wikipedia
tanshinone IIA,East Asian,These compounds are all naturally occurring and can all be isolated from Salvia miltiorrhiza.,wikipedia
ginsenoside Rb1,East Asian,Found in ginseng root.,csv_fallback
ginsenoside Rg1,East Asian,"Compounds in this family are found almost exclusively in the plant genus Panax (ginseng), which has a long history of use in traditional medicine that has led to the study of pharmacological effects of ginseng compounds.",wikipedia
