model,condition,compound,stratum,correct_bioactivity,correct_food,correct_cultural,correct_bioavail,overall
haiku,A,quercetin,Western,True,True,True,True,1.0
haiku,A,kaempferol,Western,True,True,True,True,1.0
haiku,A,myricetin,Western,True,True,True,True,1.0
haiku,A,apigenin,Western,False,True,True,True,0.75
haiku,A,luteolin,Western,False,True,True,True,0.75
haiku,A,resveratrol,Western,False,True,True,True,0.75
haiku,A,caffeic acid,Western,True,True,True,True,1.0
haiku,A,chlorogenic acid,Western,True,True,True,True,1.0
haiku,A,ferulic acid,Western,True,True,True,False,0.75
haiku,A,ellagic acid,Western,False,True,True,True,0.75
haiku,A,naringenin,Western,True,False,True,False,0.5
haiku,A,hesperetin,Western,True,False,True,False,0.5
haiku,A,cyanidin,Western,True,True,True,True,1.0
haiku,A,delphinidin,Western,True,False,True,True,0.75
haiku,A,oleuropein,Western,False,True,True,False,0.5
haiku,A,hydroxytyrosol,Western,True,True,True,True,1.0
haiku,A,pterostilbene,Western,True,True,True,True,1.0
haiku,A,gallic acid,Western,True,True,False,False,0.5
haiku,A,genistein,East Asian,True,False,True,True,0.75
haiku,A,daidzein,East Asian,True,True,True,True,1.0
haiku,A,allicin,East Asian,True,True,False,True,0.75
haiku,A,epigallocatechin gallate,East Asian,True,True,True,True,1.0
haiku,A,theaflavin,East Asian,True,True,True,False,0.75
haiku,A,berberine,East Asian,True,True,True,True,1.0
haiku,A,honokiol,East Asian,False,True,True,False,0.5
haiku,A,tanshinone IIA,East Asian,False,True,True,True,0.75
haiku,A,ginsenoside Rb1,East Asian,False,True,True,True,0.75
haiku,A,ginsenoside Rg1,East Asian,True,True,True,True,1.0
haiku,A,6-gingerol,East Asian,True,True,False,True,0.75
haiku,A,nobiletin,East Asian,False,True,True,False,0.5
haiku,A,tangeretin,East Asian,False,True,False,False,0.25
haiku,A,schisandrin A,East Asian,True,True,True,True,1.0
haiku,A,icariin,East Asian,False,True,True,True,0.75
haiku,A,sulforaphane,East Asian,True,True,False,False,0.5
haiku,A,puerarin,East Asian,False,True,True,True,0.75
haiku,A,curcumin,South Asian,True,True,True,True,1.0
haiku,A,demethoxycurcumin,South Asian,False,True,True,True,0.75
haiku,A,bisdemethoxycurcumin,South Asian,False,True,True,True,0.75
haiku,A,piperine,South Asian,False,True,True,False,0.5
haiku,A,withaferin A,South Asian,False,False,True,False,0.25
haiku,A,andrographolide,South Asian,False,True,True,False,0.5
haiku,A,bacoside A,South Asian,False,True,True,True,0.75
haiku,A,gymnemic acid I,South Asian,True,True,True,True,1.0
haiku,A,boswellic acid,South Asian,True,False,True,True,0.75
haiku,A,guggulsterone,South Asian,True,False,True,False,0.5
haiku,A,forskolin,South Asian,False,True,True,True,0.75
haiku,A,thymoquinone,South Asian,True,True,False,True,0.75
haiku,A,eugenol,South Asian,False,True,True,False,0.5
haiku,A,mangiferin,South Asian,True,True,True,True,1.0
haiku,A,gallocatechin,South Asian,True,True,False,True,0.75
haiku,A,azadirachtin,South Asian,False,False,False,False,0.0
haiku,A,embelin,South Asian,False,True,True,False,0.5
haiku,A,aspalathin,African,True,True,True,False,0.75
haiku,A,nothofagin,African,True,False,False,False,0.25
haiku,A,kolaviron,African,False,True,True,False,0.5
haiku,A,6-paradol,African,False,False,False,True,0.25
haiku,A,6-shogaol,African,True,True,False,True,0.75
haiku,A,mesembrine,African,False,False,False,False,0.0
haiku,A,catechin,African,True,True,False,True,0.75
haiku,A,hydroxycitric acid,African,True,True,False,True,0.75
haiku,A,epicatechin,African,False,True,False,False,0.25
